,Area_of_Origin,Business_Impact,Civilian_Casualties,Count_of_Persons_Rescued,Estimated_Dollar_Loss,Estimated_Number_Of_Persons_Displaced,Ext_agent_app_or_defer_time,Extent_Of_Fire,Fire_Alarm_System_Impact_on_Evacuation,Fire_Alarm_System_Operation,Fire_Under_Control_Time,Ignition_Source,Incident_Station_Area,Incident_Ward,Last_TFS_Unit_Clear_Time,lat,long,Material_First_Ignited,Method_Of_Fire_Control,Possible_Cause,Property_Use,Smoke_Alarm_at_Fire_Origin_Alarm_Failure,Smoke_Alarm_at_Fire_Origin_Alarm_Type,Status_of_Fire_On_Arrival,TFS_Alarm_Time,TFS_Arrival_Time,Fire_Alarm_System_Presence_(Refactored)
780,Chimney/Flue Pipe,Not applicable (not a business),0,0,0,0,2018-09-23T07:47:14,Confined to object of origin,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,2018-09-23T07:47:34,Fireplace - Masonry,322,14.0,2018-09-23T08:20:58,43.69696032,-79.34829013,Other,Extinguished by fire department,"Routine maintenance deficiency, eg creosote, lint, grease buildup",Detached Dwelling,Remote from fire – smoke did not reach alarm,Battery operated,"Fire with smoke showing only - including vehicle, outdoor fires",2018-09-23T07:28:23,2018-09-23T07:32:24,Present
781,Porch or Balcony,Not applicable (not a business),0,0,100000,1,2018-09-23T15:05:35,"Spread beyond room of origin, same floor","Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-09-23T15:21:15,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",341,12.0,2018-09-23T20:17:06,43.69060763,-79.43995768,"Rubbish, Trash, Waste",Extinguished by fire department,Improperly Discarded,Semi-Detached Dwelling,Reason for inoperation undetermined,Battery operated,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2018-09-23T15:00:12,2018-09-23T15:02:56,No System
782,Cooking Area or Kitchen,No business interruption,0,0,25000,5,2018-09-27T18:18:57,Confined to part of room/area of origin,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,2018-09-27T18:18:57,"Stove, Range-top burner",143,6.0,2018-09-28T00:41:48,43.76738122,-79.46213822,Other,Extinguished by occupant,Unattended,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,Fire extinguished prior to arrival,2018-09-27T18:08:52,2018-09-27T18:14:33,Present
783,Basement/cellar (not partitioned),May resume operations within a week,0,0,20000,0,2018-09-28T06:57:37,Confined to part of room/area of origin,"Not applicable: No fire alarm system, no persons present",Fire alarm system operation undetermined,2018-09-28T06:57:37,Other Electrical Distribution Item,445,3.0,2018-09-28T08:19:11,43.6487708,-79.52874919,Wood,Fire self extinguished,Electrical Failure,Other Business or Personal Services,Not applicable: Alarm operated OR presence/operation undetermined,Not applicable - no smoke alarm or presence undetermined,Fire with no evidence from street,2018-09-28T06:38:34,2018-09-28T06:42:42,Undetermined
784,"Process Manufacturing (inc manf, prod assembly, repair)",Undetermined,0,0,20000,0,2018-09-28T12:24:43,Confined to object of origin,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-09-28T12:24:50,Other Processing Equipment,432,3.0,2018-09-28T13:41:24,43.62407225,-79.55955146,Other,Extinguished by fire department,"Unintentional, cause undetermined","Mfg: Secondary Processing (eg finished goods, furniture, etc)",Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),"Fire with smoke showing only - including vehicle, outdoor fires",2018-09-28T12:14:24,2018-09-28T12:21:22,Present
785,Cooking Area or Kitchen,No business interruption,1,0,500,1,2018-09-28T16:23:00,Confined to object of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-09-28T16:23:00,"Stove, Range-top burner",332,10.0,2018-09-28T16:57:41,43.65027764,-79.38240208,Plastic,Extinguished by occupant,Unattended,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),Fire extinguished prior to arrival,2018-09-28T16:16:29,2018-09-28T16:21:27,Present
786,Cooking Area or Kitchen,No business interruption,0,0,1000,3,2018-09-29T00:08:53,Confined to part of room/area of origin,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-09-29T00:11:10,"Stove, Range-top burner",225,20.0,2018-09-29T00:47:37,43.69163815,-79.28655118,"Other chemicals, materials not classified above",Extinguished by fire department,Unattended,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),Fire with no evidence from street,2018-09-28T23:58:30,2018-09-29T00:04:10,Present
787,Cooking Area or Kitchen,No business interruption,0,0,15000,2,2018-10-01T18:35:30,Confined to part of room/area of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-10-01T18:36:20,"Stove, Range-top burner",413,1.0,2018-10-01T19:22:59,43.74270693,-79.59458167,"Cooking Oil, Grease",Extinguished by fire department,Unattended,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,"Fire with smoke showing only - including vehicle, outdoor fires",2018-10-01T18:27:17,2018-10-01T18:31:36,Present
788,Storage Area (outside),No business interruption,0,0,500,0,2018-10-02T06:05:00,Confined to object of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-10-02T06:15:00,Undetermined,134,12.0,2018-10-02T06:29:20,43.70528276,-79.39325896,"Other Soft Goods, Wearing Apparel",Extinguished by fire department,Suspected Arson,Multi-Unit Dwelling - Over 12 Units,Other reason,Not applicable - no smoke alarm or presence undetermined,"Fire with smoke showing only - including vehicle, outdoor fires",2018-10-02T05:57:02,2018-10-02T06:03:34,No System
789,Cooking Area or Kitchen,Undetermined,0,0,0,0,2018-10-02T07:33:23,Confined to object of origin,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-10-02T07:31:06,"Other Cooking Items (eg Toaster, Kettle, elec frying pan)",432,3.0,2018-10-02T07:46:38,43.61610724,-79.55696061,Electrical Wiring Insulation,Extinguished by occupant,Mechanical Failure,Restaurant (occupant load less than 30 persons),Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),Fire extinguished prior to arrival,2018-10-02T07:28:12,2018-10-02T07:31:06,Present
790,"Hallway, Corridor",Not applicable (not a business),0,0,5000,0,2018-10-02T12:57:00,Confined to object of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-10-02T13:00:43,"Distribution Equipment (includes panel boards, fuses, circuit br",426,9.0,2018-10-02T13:58:01,43.64734755,-79.43727971,Electrical Wiring Insulation,Fire self extinguished,Electrical Failure,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),Fire extinguished prior to arrival,2018-10-02T12:44:58,2018-10-02T12:48:06,Present
791,Cooking Area or Kitchen,Not applicable (not a business),0,0,10000,2,2018-10-02T15:12:09,Confined to part of room/area of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-10-02T15:18:42,"Stove, Range-top burner",325,13.0,2018-10-02T16:12:09,43.65616273,-79.37012259,Wood,Fire self extinguished,Unattended,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,Fire with no evidence from street,2018-10-02T15:04:40,2018-10-02T15:08:34,Present
792,Other Outside Area,No business interruption,0,0,5000,0,2018-10-05T08:15:00,Confined to object of origin,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operation undetermined,2018-10-05T08:27:56,"Hot Ashes, Embers, Spark",411,7.0,2018-10-05T09:06:09,43.75808128,-79.54388212,Wood,Extinguished by fire department,"Other unintentional cause, not classified","Mfg: Other Wood, Furniture, Paper Products, Printing",Not applicable: Alarm operated OR presence/operation undetermined,Not applicable - no smoke alarm or presence undetermined,"Fire with smoke showing only - including vehicle, outdoor fires",2018-10-05T07:28:54,2018-10-05T07:33:06,Present
793,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",Not applicable (not a business),0,0,60000,2,2018-10-05T12:55:52,Spread to entire room of origin,Undetermined,Fire alarm system operation undetermined,2018-10-05T13:04:24,Candle,314,13.0,2018-10-05T23:02:59,43.66474338,-79.38545265,"Other Soft Goods, Wearing Apparel",Extinguished by fire department,Unattended,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,Fire with no evidence from street,2018-10-05T12:44:03,2018-10-05T12:46:51,Present
794,Porch or Balcony,No business interruption,0,0,3000,0,2018-10-05T14:00:00,Confined to part of room/area of origin,"Not applicable: No fire alarm system, no persons present",Fire alarm system did not operate,2018-10-05T14:12:18,Undetermined,333,10.0,2018-10-05T15:16:34,43.64499778,-79.37616507,Undetermined (formerly 98),Extinguished by fire department,Undetermined,Multi-Unit Dwelling - Over 12 Units,"Separated from fire (e.g. wall, etc)",Hardwired (standalone),"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2018-10-05T13:46:12,2018-10-05T13:52:45,Present
795,Porch or Balcony,Not applicable (not a business),0,0,42090,1,2018-10-05T16:58:51,Spread to entire room of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-10-05T17:00:00,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",213,24.0,2018-10-06T12:45:15,43.78483026,-79.19543305,"Rubbish, Trash, Waste",Extinguished by fire department,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2018-10-05T16:47:05,2018-10-05T16:52:23,Present
796,"Court, Patio, Terrace",Not applicable (not a business),2,0,0,0,2018-10-05T19:47:00,Confined to part of room/area of origin,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),2018-10-05T19:46:09,"Open Fire (eg. camp fire, rubbish fire, etc.)",331,10.0,2018-10-05T23:27:54,43.6474377,-79.41732271,Wearing Apparel on a Person,Extinguished by occupant,Improper handling of ignition source or ignited material,Detached Dwelling,Remote from fire – smoke did not reach alarm,Not applicable - no smoke alarm or presence undetermined,Fire extinguished prior to arrival,2018-10-05T19:42:02,2018-10-05T19:46:09,Present
797,Cooking Area or Kitchen,Not applicable (not a business),0,0,500,0,2018-10-07T10:44:09,Confined to part of room/area of origin,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),2018-10-07T10:44:08,"Stove, Range-top burner",345,9.0,2018-10-07T11:05:29,43.66642826,-79.43818506,Cabinetry,Extinguished by occupant,Unattended,Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Battery operated,Fire extinguished prior to arrival,2018-10-07T10:41:25,2018-10-07T10:44:08,Not applicable
798,"Trash, Rubbish Storage (inc garbage chute room, garbage/industri",No business interruption,0,0,500,0,2018-10-10T16:55:00,Confined to part of room/area of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-10-10T16:55:00,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",132,8.0,2018-10-10T18:08:17,43.7140869,-79.45475113,"Rubbish, Trash, Waste",Extinguished by automatic system,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),Fire with no evidence from street,2018-10-10T16:44:43,2018-10-10T16:49:45,Present
799,Cooking Area or Kitchen,No business interruption,0,0,10000,0,2018-10-09T21:02:02,Confined to object of origin,Undetermined,Fire alarm system operated,2018-10-09T21:00:00,"Stove, Range-top burner",325,13.0,2018-10-09T21:30:07,43.65912848,-79.36130306,"Cooking Oil, Grease",Fire self extinguished,"Other unintentional cause, not classified",Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Hardwired (standalone),Fire extinguished prior to arrival,2018-10-09T20:55:56,2018-10-09T20:59:32,Present
800,Cooking Area or Kitchen,Not applicable (not a business),0,0,5000,0,2018-10-11T18:27:18,Confined to part of room/area of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-10-11T18:25:18,"Stove, Range-top burner",146,7.0,2018-10-11T18:45:43,43.72391931,-79.53433183,"Cooking Oil, Grease",Extinguished by occupant,Unattended,Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Type undetermined,Fire extinguished prior to arrival,2018-10-11T18:18:38,2018-10-11T18:25:18,No System
801,Electrical Systems,No business interruption,0,0,50000,1,2018-10-14T13:16:00,Confined to part of room/area of origin,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-10-14T13:23:05,Service/Utility Lines (includes power/hydro transmission lines),134,12.0,2018-10-14T22:20:24,43.70351071,-79.40412333,Electrical Wiring Insulation,Extinguished by fire department,Electrical Failure,Multi-Unit Dwelling - Over 12 Units,Reason for inoperation undetermined,Battery operated,Unclassified,2018-10-14T12:26:51,2018-10-14T12:31:31,Present
802,"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",No business interruption,0,0,6000,1,2018-10-14T12:58:34,Spread to entire room of origin,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,2018-10-14T13:04:28,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",325,13.0,2018-10-14T16:56:01,43.65632009,-79.36862065,"Mattress, Pillow",Extinguished by fire department,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,Not applicable: Alarm operated OR presence/operation undetermined,Interconnected,Fire with no evidence from street,2018-10-14T12:50:20,2018-10-14T12:52:57,Present
803,"Lobby, Entranceway",Not applicable (not a business),0,0,30000,0,2018-10-14T18:19:00,Spread to entire room of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-10-14T18:35:12,Matches or Lighters (unable to distinguish),114,18.0,2018-10-14T20:46:44,43.77864796,-79.42063748,"Upholstered Sofa, Chair, etc.",Extinguished by fire department,Suspected Arson,Detached Dwelling,Not applicable: Alarm operated OR presence/operation undetermined,Not applicable - no smoke alarm or presence undetermined,"Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2018-10-14T18:11:27,2018-10-14T18:15:21,Not applicable
804,Engine Area,May resume operations within a week,1,0,5000,0,2018-10-14T18:42:50,Confined to part of room/area of origin,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),2018-10-14T18:35:12,Vehicle - Electrical,143,6.0,2018-10-14T20:03:26,43.7688521,-79.46692782,Gasoline,Extinguished by automatic system,"Unintentional, cause undetermined",Motor Vehicle Repair Garage,Not applicable: Alarm operated OR presence/operation undetermined,Not applicable - no smoke alarm or presence undetermined,"Fire with smoke showing only - including vehicle, outdoor fires",2018-10-14T18:25:43,2018-10-14T18:32:49,No System
